Sprint,Approximate,Exact
1,39.08,48
2,52.33,96
3,39.75,96
4,84.08,96
5,22.25,77
6,12.02,77
7,52,84
8,24.02,49
9,39.83,107
10,12.5,21.5
11,46,40
12,19.5,19
13,53.5,43.75
14,37.5,26.33
15,19,16.5
16,32,23.5
17,45,30
18,34,20.25
19,24.5,34.33
20,57,31.5
21,70,48.5
22,57.5,42.5
23,56.5,36.5
24,36,34.33
25,35,78.5
26,21,21
27,20,18
28,39,41
29,32,28.5
30,49,51.42
31,45,46.25
32,108,103.2
33,42.3,67.38
34,39.5,36.25
35,40.5,42.08
36,44,44.2
37,42,47.37
38,48,45.9
39,32.63,30.75
40,49.98,50.22
41,45,40.03
42,67,68.47